name,weat_es_hatespeech_gender,rnsb_hatespeech_gender,precision_diff,recall_diff,f1_diff,precision_diff_strict,recall_diff_strict,f1_diff_strict
ar_hatespeech_gender_debias_reg1e-1_sim0.0_ant0.0,-0.34855757720900116,-0.014466465265086714,0.00456435719636572,-0.025262023405387968,-0.01106811039290767,0.03820326678765873,-0.044585115483319115,-0.0090321316614419
ar_hatespeech_gender_debias_reg1e-1_sim0.0_ant1.0,-0.4969692707591578,-0.019543186771303345,0.009748977003517623,-0.03390814127010444,-0.013092669338173879,0.049679487179487114,-0.06254918733960646,-0.013820278152508303
ar_hatespeech_gender_debias_reg1e-1_sim1.0_ant0.0,-0.4231187880163169,-0.016764379036924515,0.009765737695459076,-0.03259693338802161,-0.012448678808295588,0.023310023310023298,-0.09194183062446537,-0.04219483225266263
ar_hatespeech_gender_debias_reg1e-1_sim1.0_ant1.0,-0.5460801278443351,-0.023611545521600386,0.001328624046676774,-0.03150825995514406,-0.015753572360879486,0.04341290893015026,-0.06282292557741664,-0.01652476780185752
ar_hatespeech_gender_debias_reg5e-2_sim0.0_ant0.0,-0.8905362773649179,-0.03356458244527033,0.009747504403992857,-0.03270820061262425,-0.012482418927117545,0.02424767265641914,-0.051120615911035006,-0.0179050686297062
ar_hatespeech_gender_debias_reg5e-2_sim0.0_ant1.0,-1.147278272568314,-0.04802392916056525,-0.002412096970352162,-0.031087189869882792,-0.01697755239547505,0.03380561769823509,-0.08106073567151406,-0.029138053960748977
ar_hatespeech_gender_debias_reg5e-2_sim1.0_ant0.0,-0.993076349785746,-0.04063824610009997,-0.001547987616099089,-0.022973409315030224,-0.012489318346151301,0.048202054794520555,-0.07507271171941832,-0.020349252622252734
ar_hatespeech_gender_debias_reg5e-2_sim1.0_ant1.0,-1.1492800132520287,-0.053046258826105364,0.0034567901234567877,-0.027463369084292588,-0.012365747460086896,0.036050088825339,-0.06282292557741664,-0.01924699026148302
ar_hatespeech_gender_debias_reg1e-2_sim0.0_ant0.0,-1.9056076431143616,-0.1320178239542562,0.009013679309169187,-0.026907032961279054,-0.009558593342377186,0.04216437867712608,-0.09194183062446537,-0.033797621936423106
ar_hatespeech_gender_debias_reg1e-2_sim0.0_ant1.0,-1.952388132186923,-0.21274019952916495,0.007366547209144314,-0.02855204251717003,-0.011232679844898175,0.06129946003363729,-0.06826347305389213,-0.011804547653604058
ar_hatespeech_gender_debias_reg1e-2_sim1.0_ant0.0,-1.915878018590606,-0.19270945706036796,0.0037985546522131264,-0.038533367077119074,-0.017731676897334014,0.04815436241610738,-0.05765611633875101,-0.010137048363348056
ar_hatespeech_gender_debias_reg1e-2_sim1.0_ant1.0,-1.9733860303941313,-0.32119544030477115,0.0014638732205211058,-0.035465882414542405,-0.017236474554325865,0.054464433074764895,-0.09792985457656123,-0.028851281187729727
ar_hatespeech_gender_overbias_reg1e-1_sim0.0_ant0.0,0.8027362560322971,0.03248931562630808,-0.005719153628532925,-0.023307210988838367,-0.014668262925338404,0.022998366013071925,-0.05792985457656119,-0.021071082270455732
ar_hatespeech_gender_overbias_reg1e-1_sim0.0_ant1.0,0.8343543764551488,0.03473177008885475,-0.001226659397573937,-0.02866330974177278,-0.01545860917784192,0.05459183673469381,-0.06337040205303679,-0.010788838870210982
ar_hatespeech_gender_overbias_reg1e-1_sim1.0_ant0.0,0.8083655803842739,0.032978786731229615,8.939746111158442e-06,-0.03808829817870829,-0.019267771687834445,0.040736774469907866,-0.09248930710008552,-0.03338414634146325
ar_hatespeech_gender_overbias_reg1e-1_sim1.0_ant1.0,0.8635392912434745,0.03841074401869837,-0.002288958680272346,-0.032398397751965735,-0.017525787992505593,0.01664816870144281,-0.057382378100941045,-0.023791710309741254
ar_hatespeech_gender_overbias_reg5e-2_sim0.0_ant0.0,1.1040315187338885,0.045481686941366006,0.0044878186104888584,-0.029863250399252972,-0.013313930611524971,0.024301075268817196,-0.04513259195893926,-0.014409937888198776
ar_hatespeech_gender_overbias_reg5e-2_sim0.0_ant1.0,1.310909618246688,0.05825276334496561,0.007712993735221385,-0.019881925839303927,-0.007021592796573106,0.025187969924812093,-0.08568006843455944,-0.039170025376921824
ar_hatespeech_gender_overbias_reg5e-2_sim1.0_ant0.0,1.2199769617892793,0.05426094998706471,0.0006553876922245072,-0.028019705207306123,-0.013910067732898379,0.01065956029313786,-0.06337040205303679,-0.030035285815102175
ar_hatespeech_gender_overbias_reg5e-2_sim1.0_ant1.0,1.3072096836730027,0.06738340977954449,-0.006727348953403434,-0.02584235834155113,-0.016239032302190592,0.027806549278941883,-0.06391787852865694,-0.021552915169936404
ar_hatespeech_gender_overbias_reg1e-2_sim0.0_ant0.0,1.819468080321422,0.11903827372072646,0.0014578271433529633,-0.03195332885355484,-0.015741407842963184,0.023443889141299468,-0.0916680923866553,-0.04238101769304636
ar_hatespeech_gender_overbias_reg1e-2_sim0.0_ant1.0,1.8984525632656366,0.1862779096054857,0.008606704504660057,-0.0308646554206774,-0.01152931159692494,0.029780498979549375,-0.05792985457656119,-0.018404907975460016
ar_hatespeech_gender_overbias_reg1e-2_sim1.0_ant0.0,1.8698965758315649,0.1908179402361156,-0.00047404761086877745,-0.02450715164631856,-0.012783122702334171,0.04910372950471498,-0.04568006843455941,-0.003399810066476716
ar_hatespeech_gender_overbias_reg1e-2_sim1.0_ant1.0,1.938452452026187,0.3175437275314038,0.012424510030972113,-0.01505816439623342,-0.0023762469414643217,0.04642232160217774,-0.04947818648417457,-0.009928217571529618
