name,weat_es,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
db_winobias_overbias_0.1,1.1665367733647283,0.19738844654036602,0.1810708040777701,0.1888943553835814,0.12294774330661706,0.10647063568449155,0.11411797108993049,0.633494689140354
db_winobias_overbias_0.2,1.0979603532335636,0.13215520806129544,0.12321946962039831,0.12753257150852915,0.08076682956718284,0.0804177623787764,0.08083092495280852,0.6318770963414692
db_winobias_overbias_0.3,1.1422670632755603,0.128745972950718,0.1248162835882135,0.12675582716904144,0.0771031388185136,0.07528726865294633,0.07647135858467147,0.6268571810655515
db_winobias_overbias_0.4,1.081503052111841,0.10182036326317867,0.09427270097419738,0.09790529899408706,0.05885269608901578,0.04929892207131181,0.05366403386519614,0.628975690079517
db_winobias_overbias_0.5,0.9824765887965309,0.12981779113591319,0.11437063755820209,0.1216085338413665,0.07501863266434594,0.07073582058714423,0.07320270584593613,0.6325935465683657
db_winobias_overbias_0.6,0.9066040414591742,0.13846907571714528,0.13275707329499908,0.13556973857495247,0.02916136406114278,0.030297628521910758,0.029992142451882642,0.6253055980915501
db_winobias_overbias_0.7,0.8424702827876605,0.09703942396870424,0.08329240375164015,0.08978780100338046,0.06662486752241836,0.06261453418947094,0.06467447683107841,0.6324882298985058
db_winobias_overbias_0.8,0.9125210835986761,0.1301802741269339,0.12111063306883751,0.1254793756093674,0.12758442969118378,0.12082317995383618,0.12444374903237576,0.6331077675313863
db_winobias_overbias_0.9,0.8170358563650967,0.1643414877056899,0.1608230478780015,0.1627055229684491,0.08031491914437405,0.06511573590907904,0.07208099421259107,0.6293057781824293
ar_winobias_debias_reg1e-1_sim0.0_ant0.0,-0.013112676866647346,0.03440433610637805,0.029981732684261186,0.03203700382709629,-0.00988445015939643,0.0004337472269052567,-0.0039053702809210833,0.6302188192257058
ar_winobias_debias_reg1e-1_sim0.0_ant0.5,-0.19633775156184238,0.1451767478061483,0.13928632169086247,0.14227237493598244,0.09890579768040175,0.09335679338929714,0.09643376654042923,0.6299714059159327
ar_winobias_debias_reg1e-1_sim0.0_ant1.0,-0.22581737400128635,0.11927479247454864,0.10281869595595089,0.11043471303560237,0.045051634525318685,0.035814140473742484,0.039906892709517416,0.6323310581219307
ar_winobias_debias_reg1e-1_sim0.5_ant0.0,-0.008404110433218422,0.1317857195015767,0.1266460054837248,0.12955144907018246,0.017042614514974463,0.019846201361363947,0.0188826030978414,0.6313938792682361
ar_winobias_debias_reg1e-1_sim0.5_ant0.5,-0.1685897238381935,0.17767059873841262,0.1569645843188155,0.16668026135706338,0.009794186974074415,0.019511152579350988,0.015413990675155365,0.632237658495039
ar_winobias_debias_reg1e-1_sim0.5_ant1.0,-0.2610591899152262,0.1469261221539062,0.13197559760382266,0.13904920558105327,0.01803102963718428,0.022726125245175033,0.021088643447516264,0.6315520769025957
ar_winobias_debias_reg1e-1_sim1.0_ant0.0,-0.06278336478129384,0.0818176919513195,0.07258419460431842,0.07693229061152651,-0.002702320456944296,0.005759336155923056,0.002394152773493863,0.6290620264824098
ar_winobias_debias_reg1e-1_sim1.0_ant0.5,-0.17578259844586408,0.12081478558145076,0.10842802699097848,0.11428546406806794,0.016248746796683866,0.023066693063818366,0.020045682474510773,0.6297215622073539
ar_winobias_debias_reg1e-1_sim1.0_ant1.0,-0.3182321908977669,0.13563450911210773,0.12415477200693925,0.12967683651042894,0.006264289063623307,0.017684872233596494,0.013180811007148074,0.6352642128138618
ar_winobias_debias_reg5e-2_sim0.0_ant0.0,-0.617397709414488,0.024974385559536905,0.012038951319137126,0.01764340117761487,-0.002967634215868542,0.00810329085049033,0.0036844303324007344,0.6289024230055899
ar_winobias_debias_reg5e-2_sim0.0_ant0.5,-0.7705928864708426,0.029893323731104537,0.021319129749212296,0.024983899246222685,-0.024035263354844072,-0.012069217757769701,-0.01699156939337465,0.6290401153778383
ar_winobias_debias_reg5e-2_sim0.0_ant1.0,-0.8933556692401976,0.11922743937029656,0.07889963202785705,0.09608623850971831,-0.015256748869696413,0.006024981403602525,-0.0023404338685624193,0.6243319772209078
ar_winobias_debias_reg5e-2_sim0.5_ant0.0,-0.6992664693922039,0.10444609822325057,0.09148745036902922,0.09753193580439423,0.010050649305016646,0.021248439911920047,0.017170263002911246,0.6299570518014649
ar_winobias_debias_reg5e-2_sim0.5_ant0.5,-0.9649424082045289,0.09005299329975347,0.0804385571155436,0.08498562655960673,-0.002089988706210688,0.0033995422303055856,0.0010417861477782786,0.6296262899578254
ar_winobias_debias_reg5e-2_sim0.5_ant1.0,-0.8120169450723389,0.11029901845030965,0.09867745897157659,0.10419943518516583,-0.02505501248810771,-0.007763244043046069,-0.014838737352788067,0.626706198800474
ar_winobias_debias_reg5e-2_sim1.0_ant0.0,-0.6310637361667578,0.05110381559226007,0.04137635392150363,0.04586496064094958,0.02755058775209085,0.030908142306776742,0.02957509007987913,0.6293686412094366
ar_winobias_debias_reg5e-2_sim1.0_ant0.5,-0.8651210569339991,0.0367289900322626,0.038919433049980134,0.03797786506620915,-0.03979774445425932,-0.014659969392110561,-0.025538473489677194,0.6272643199618507
ar_winobias_debias_reg5e-2_sim1.0_ant1.0,-0.8617540298623825,0.09100624495338228,0.08177321421645467,0.08614069128796442,-0.04555261045727166,-0.030641742437633845,-0.037194692299466925,0.626234681821646
ar_winobias_debias_reg1e-2_sim0.0_ant0.0,-1.5403742803141642,0.02732757013703291,0.01977362550117978,0.023243489393562244,-0.012872437077616206,-0.006965791951449973,-0.009472809020873663,0.6292180826821178
ar_winobias_debias_reg1e-2_sim0.0_ant0.5,-1.524223113000541,0.013282288644508089,0.012176760512673801,0.012712913494900113,-0.11201255919023623,-0.06034990192383605,-0.08159472161880044,0.6262351816461907
ar_winobias_debias_reg1e-2_sim0.0_ant1.0,-1.6672605710172772,-0.08788165887351451,-0.0785010619762942,-0.08295519420984587,-0.09620522615928429,-0.060526911746083156,-0.07551232192218604,0.624920866987248
ar_winobias_debias_reg1e-2_sim0.5_ant0.0,-1.5586575099392435,-0.04861193974762379,-0.04201468466174341,-0.04508700669740762,-0.10209196644488538,-0.07401992393181811,-0.08636606832040361,0.6287898509011661
ar_winobias_debias_reg1e-2_sim0.5_ant0.5,-1.6611283478342687,-0.04422694606208011,-0.03445090522618899,-0.03890173839813871,-0.06953674019597789,-0.03938126980690104,-0.05174570689206126,0.6296836277278873
ar_winobias_debias_reg1e-2_sim0.5_ant1.0,-1.6414061779186337,0.03548140887767948,0.02933730827177683,0.03217369908082579,-0.037034081096953386,-0.025653809584118115,-0.03081281126920421,0.6298472788300712
ar_winobias_debias_reg1e-2_sim1.0_ant0.0,-1.6254183585822015,0.08243408710320377,0.07093791484916351,0.07625971149354083,-0.04737851106511193,-0.03855369619577831,-0.042543223767605665,0.6324244126578342
ar_winobias_debias_reg1e-2_sim1.0_ant0.5,-1.6615830522210513,-0.028871689124742028,-0.01851820148388772,-0.023133577047377285,-0.15314894516603494,-0.08413020377071756,-0.10996287565925011,0.6301020569797143
ar_winobias_debias_reg1e-2_sim1.0_ant1.0,-1.5099783822836543,-0.017103774845610098,-0.01846010985587876,-0.017874420842952765,-0.05048729880273739,-0.05882195287229286,-0.05520702832977398,0.6284386741706703
ar_winobias_overbias_reg1e-1_sim0.0_ant0.0,1.273959275867129,0.2261466086244986,0.20549994528322701,0.21533142513545228,0.11918832426359982,0.1088192625311325,0.11384908273234562,0.6267901605901273
ar_winobias_overbias_reg1e-1_sim0.0_ant0.5,1.4076730822690229,0.2269808625049643,0.1954981359973621,0.2101194679474856,0.10828399539778888,0.08845198161014162,0.09737443688962566,0.6301553766287994
ar_winobias_overbias_reg1e-1_sim0.0_ant1.0,1.3375218654230079,0.11813713103755352,0.10548038916846975,0.11144856792376712,0.10417635735986286,0.09742728289852487,0.10081392348130702,0.6327387051357628
ar_winobias_overbias_reg1e-1_sim0.5_ant0.0,1.3607764938909563,0.1911931764771736,0.18534686303649167,0.18846750450076444,0.0979248971548653,0.10918808602777363,0.10461214563405719,0.631921522896841
ar_winobias_overbias_reg1e-1_sim0.5_ant0.5,1.3459449901306655,0.19855666579989406,0.1893000403771819,0.1938704476155711,0.1338694375704481,0.12520336489010964,0.12965599281393836,0.6276602369380303
ar_winobias_overbias_reg1e-1_sim0.5_ant1.0,1.3748759333464562,0.19516237506066292,0.17805976964258702,0.1862396502030812,0.11575530687614533,0.10084445889547,0.10788931169702343,0.6326053133580292
ar_winobias_overbias_reg1e-1_sim1.0_ant0.0,1.2896958922763213,0.20072111475206222,0.17763479465620846,0.18851147296004178,0.15518984099593303,0.13669484088724043,0.14543856747362993,0.6303580884697305
ar_winobias_overbias_reg1e-1_sim1.0_ant0.5,1.4190540788459953,0.1777461161065721,0.17400891402439395,0.17586957699745165,0.16424978173776905,0.1360279062207952,0.14894025948675105,0.6284905561680842
ar_winobias_overbias_reg1e-1_sim1.0_ant1.0,1.3741626962162743,0.12161471287117309,0.0976385796690235,0.10849441315428976,0.11674525408286174,0.10294573382231359,0.10943797475302774,0.623483279313881
ar_winobias_overbias_reg5e-2_sim0.0_ant0.0,1.4402569393355134,0.16625936470164893,0.15032705186858963,0.15789907495635525,0.11207217059254937,0.09145598418181267,0.10086970179274057,0.6280052011255522
ar_winobias_overbias_reg5e-2_sim0.0_ant0.5,1.5193317850161716,0.2045942082809591,0.17282588760271939,0.18737855696394112,0.17917592561369988,0.1633345269716977,0.17296070237494082,0.6269995610525606
ar_winobias_overbias_reg5e-2_sim0.0_ant1.0,1.5675006883493028,0.18015628308412956,0.1571376224240001,0.16817297468963632,0.1871219865324555,0.17982862013925116,0.18340899487935547,0.6287030542933993
