name,weat_es_winobias,rnsb_winobias,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
ar_winobias_debias_reg1e-1_sim0.0_ant0.0,0.2901415657810577,0.0027294884187838986,0.12273793267234367,0.11617225732292819,0.11941632718808459,0.023141064029516656,0.01996008268441285,0.021437010825204772,0.6303570260767348
ar_winobias_debias_reg1e-1_sim0.0_ant1.0,0.18751861391352262,0.001781959977497749,0.07376710237870598,0.06741528378525286,0.0704522959630638,0.005208370604610213,0.03137916476564051,0.019997765906486942,0.6280467028842126
ar_winobias_debias_reg1e-1_sim1.0_ant0.0,0.24045165600635002,0.002284867538467239,0.07488731001712134,0.05468904188589441,0.0638366926393823,-0.0017171982998911428,0.007638244110873327,0.003637885381486905,0.6268286910549997
ar_winobias_debias_reg1e-1_sim1.0_ant1.0,0.1186738734765441,0.001136546367077329,0.11564763806746736,0.10790494534044581,0.11167187552302027,0.051272121201093035,0.07146163152673735,0.06313230659038771,0.6305228575575648
ar_winobias_debias_reg5e-2_sim0.0_ant0.0,-0.2767533041758377,-0.002471265873327355,0.08995301675170697,0.0909952208584821,0.09092650100815414,-0.02415501886537408,-0.010111444426365135,-0.015622781343216374,0.6236471361583852
ar_winobias_debias_reg5e-2_sim0.0_ant1.0,-0.5264354356430659,-0.004865847964183712,0.08349544060133895,0.07841379787974218,0.08100414956335444,0.018791491315525377,0.025706128577264953,0.023405633268354986,0.6293337459006833
ar_winobias_debias_reg5e-2_sim1.0_ant0.0,-0.41229554566767673,-0.003810811719929086,0.08705136990431794,0.06895533178427915,0.07715966360354265,0.012590210483868214,0.005665785521548727,0.008667256491266762,0.6305011340784094
ar_winobias_debias_reg5e-2_sim1.0_ant1.0,-0.5905323701008407,-0.0059124092462190525,0.027698415416827937,0.03005651495718553,0.029064849899173684,-0.058223595062508404,-0.04566077067567331,-0.05130417179794322,0.6306205630743197
ar_winobias_debias_reg1e-2_sim0.0_ant0.0,-1.698332917487491,-0.024918143066442522,0.0038370091537393014,-0.005123011063413729,-0.001157089953377488,-0.06362213910970727,-0.06082835038101053,-0.062341224672193496,0.6287532768509072
ar_winobias_debias_reg1e-2_sim0.0_ant1.0,-1.8124725618566508,-0.039024925990232384,-0.029009717190484174,-0.01540870503073799,-0.02131460770749516,-0.13074382836598053,-0.10901613283001377,-0.11890628336857101,0.6304835941063187
