name,weat_es_hatespeech_race,rnsb_hatespeech_race,precision_diff,recall_diff,f1_diff
ar_hatespeech_race_debias_reg1e-2_sim1.0_ant0.0,-1.8830854973558588,-0.2139582547274237,-0.04735920260950788,-0.14367969368620614,-0.09607307949054744
ar_hatespeech_race_debias_reg1e-2_sim1.0_ant1.0,-1.9632678355520508,-0.41004482870072956,-0.03807927503131214,-0.15735072474554823,-0.09961890969946707
ar_hatespeech_race_overbias_reg1e-1_sim0.0_ant0.0,1.818957716497884,0.19618278063059796,-0.04118835925579756,-0.14991099616074033,-0.09689863318818637
ar_hatespeech_race_overbias_reg1e-1_sim0.0_ant1.0,1.8250998046762668,0.2041891204679946,-0.04101450082623137,-0.14564997612092123,-0.09470579275654678
ar_hatespeech_race_overbias_reg1e-1_sim1.0_ant0.0,1.8235411333590525,0.20320165811460997,-0.04429044395900805,-0.1439174507481078,-0.09503910992270215
ar_hatespeech_race_overbias_reg1e-1_sim1.0_ant1.0,1.8357498999734205,0.21407147422771317,-0.04398536674593012,-0.14479094951900717,-0.09583930258191642
ar_hatespeech_race_overbias_reg5e-2_sim0.0_ant0.0,1.8639379318744351,0.21695333826255614,-0.03853312958094246,-0.1560792413275527,-0.09907171152743233
ar_hatespeech_race_overbias_reg5e-2_sim0.0_ant1.0,1.8799221552504815,0.2352009928421211,-0.028051397019701274,-0.1619611442937271,-0.09785593122879643
ar_hatespeech_race_overbias_reg5e-2_sim1.0_ant0.0,1.870810052788775,0.22872772185712545,-0.03410419694899591,-0.1539001461689068,-0.0962995774473957
ar_hatespeech_race_overbias_reg5e-2_sim1.0_ant1.0,1.8954735248300036,0.25258023656681206,-0.05406831083218189,-0.13779779072003173,-0.09601706103908048
ar_hatespeech_race_overbias_reg1e-2_sim0.0_ant0.0,1.9592103871020574,0.31284120354491946,-0.03769738754157648,-0.15285194764382748,-0.09700668594049022
ar_hatespeech_race_overbias_reg1e-2_sim0.0_ant1.0,1.9791084819416493,0.41388761260314216,-0.04138285034515499,-0.1497848815452969,-0.09649695301473882
ar_hatespeech_race_overbias_reg1e-2_sim1.0_ant0.0,1.974224175133915,0.4184197192878834,-0.03688556376673735,-0.14962465396010227,-0.09486764501459566
ar_hatespeech_race_overbias_reg1e-2_sim1.0_ant1.0,1.9884793460116483,0.5743493405323197,-0.03789916455622511,-0.15111942227101416,-0.09597076048520548
