name,weat_es_weat_6,weat_es_weat_7,weat_es_weat_8,rnsb_weat_6,rnsb_weat_7,rnsb_weat_8,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
db_weat_gender_debias_0.0,-1.4678238498071283,-1.4597558366743895,-1.6002162612266695,-0.29485971278903217,-0.16472270262697103,-0.1702827792517799,0.16886301604101162,0.15327994721699578,0.16069366335091484,0.025958759756832483,0.009334976911386184,0.01669912619683578,0.6340138867000559
db_weat_gender_debias_0.1,-1.1799702598914916,-0.4087622486945172,-1.0075072063307875,-0.1945146181652504,-0.05927650538563438,-0.09755737244008005,0.0555305790218803,0.04738448592937761,0.05115325263283632,0.07028885270091878,0.06664774674233942,0.06873575412607003,0.6247733770272897
db_weat_gender_debias_0.2,-0.45871880779846236,0.09027083906398967,-1.0522010035715659,-0.0720070586586246,-0.01638097154050916,-0.07382992306540082,0.2467805003014646,0.2244887016236347,0.23511130870051,0.09640208820775831,0.09526985385070974,0.09631436183903741,0.6305613908825957
db_weat_gender_debias_0.3,-0.1724077729444158,0.35134678966259264,-0.547987544875228,0.002719861251780864,0.01373614101939813,-0.021907602101230494,0.19681010247885866,0.1728115531263107,0.1840663443881806,0.05514469100165875,0.052939456804432905,0.054245231345354195,0.6303497049674652
db_weat_gender_debias_0.4,0.046370829346079716,0.6621467815018152,-0.0910630745675683,0.017178286212802096,0.030547733598113136,0.0039276957692581105,0.1299459060441962,0.12354823671258142,0.1267874029742725,0.08159160103877328,0.06555623682385392,0.07278351340553701,0.6343369261071704
db_weat_gender_debias_0.5,-0.10544761036960132,0.7100795337794217,0.7446167784801336,-0.006783937919594862,0.05194273550509371,0.09770417703548906,0.14084567129988945,0.12342877368677174,0.1316719095225546,0.06400233332884231,0.06868074956157744,0.06703199683203853,0.6270077646710508
db_weat_gender_debias_0.6,0.12171122967348749,0.7895839974008396,0.824955802161723,0.027597812865492954,0.06633244146807833,0.10557602268928785,0.08732828867295139,0.09017014372406529,0.0888920542581404,0.03476737345031611,0.03509662670288338,0.03508497963264634,0.6330184789364969
db_weat_gender_debias_0.7,0.3555101083612247,0.805717106100875,0.94633924162589,0.06951232580103506,0.06932395590682945,0.11395648548037189,0.10410301448327675,0.08717234969814946,0.09503713614982556,0.02517951172565769,0.03256173453134126,0.029751132825578286,0.6324460889378536
db_weat_gender_debias_0.8,0.6468071034662216,0.5033805723448889,0.6729357683109057,0.10564170485466536,0.048939983529445064,0.08288323716872466,0.03646296165043217,0.03146077696516292,0.033804661920474044,0.028174938170440034,0.02309150371133062,0.02538256553877183,0.6323945791315649
db_weat_gender_debias_0.9,0.6211992492037741,1.3929880254759919,1.124959838679623,0.10160591388360096,0.1683251428745231,0.1505121591115599,0.1748135533429358,0.16226331297925745,0.1683089133528065,0.10072693072572692,0.13031236752581166,0.11859102108155972,0.629701414522995
db_weat_gender_overbias_0.0,1.8090530481466554,1.8414311772386511,1.748787987776284,0.5392291910778849,0.3707851659757681,0.30976178312169356,0.023312376534435075,0.026657460738988115,0.025139811845880877,0.0412406782432817,0.04810039424993995,0.04578376413483343,0.6290924076357426
db_weat_gender_overbias_0.1,1.7102910185834879,1.815843079870316,1.7183899351595269,0.4179671599970732,0.30407365273069703,0.2672703499745587,0.19898101582215388,0.19252018854057062,0.19570709196132097,0.11833966403436347,0.10318213977731328,0.11030805606893457,0.6267520150532984
db_weat_gender_overbias_0.2,1.572489715895912,1.8421405289517574,1.7768436066524271,0.3578514109627292,0.26392516490215273,0.26041425717108246,0.1369832579502317,0.11965891547934904,0.1277773758135734,0.0387568060138771,0.03494610056936831,0.03686353262231756,0.6301926598559474
db_weat_gender_overbias_0.3,1.61696214260994,1.7988200895094677,1.6335693935971227,0.349668179304111,0.30528539870590116,0.26081217579685856,0.13975349384170377,0.11408997789286746,0.12598384633717286,0.12987778830484453,0.10967830318321353,0.11896119461079702,0.6330113491878596
db_weat_gender_overbias_0.4,1.5571588050717022,1.6881441884914368,1.5091237754311009,0.35418728824283413,0.2318248128199892,0.23669724981112314,0.21786009956490726,0.20106924385820168,0.2092029790219468,0.1239066659223037,0.11950763325735525,0.12253211701428046,0.6249884255693522
db_weat_gender_overbias_0.5,1.4068515005252926,1.6015350196722016,1.5703126900292466,0.3191450277090765,0.22586110329743217,0.25872583406952016,0.10983664822573269,0.10873393446922874,0.10928871123521744,0.044096414670342976,0.03557749946137756,0.03953679543312372,0.6310825734107859
db_weat_gender_overbias_0.6,1.3409140423441301,1.696309516196233,1.5589847598290134,0.2739339454893964,0.2630923862164961,0.2192133481078476,0.1871164194284186,0.17533845027395079,0.18103570036423522,0.02136935506623705,0.023071757252301484,0.022382534003079657,0.6326915270917314
db_weat_gender_overbias_0.7,1.255853513648542,1.4981865393261433,1.5397226816300358,0.24624022322801037,0.1795189265764816,0.18787037064006,0.11206115384071225,0.09651196864174172,0.10374793241164193,0.04981575153893836,0.05591147502637328,0.0544717080190219,0.6322369729557377
db_weat_gender_overbias_0.8,1.1404858005210001,1.6133544255994152,1.5554697260210775,0.2411670877794389,0.21625026201678432,0.20814008766532893,0.15435525201772926,0.14169629175434129,0.14775465002690524,0.10172901243055099,0.0817460683635316,0.09067959898803013,0.6303397855509693
db_weat_gender_overbias_0.9,1.084746880540762,1.4578461793241482,1.3572365988114616,0.23310966402976874,0.2320403414840852,0.22329327118551698,0.22973988424781489,0.2324251074315577,0.23126780260381774,0.09217921555331188,0.08278037948212025,0.08723210008379767,0.6327144299050577
ar_weat_gender_debias_reg1e-1_sim0.0_ant0.0,0.4107457456436811,0.14718355022574411,-0.6043252233788599,0.009281753692177264,0.0020247454565164857,-0.008029265061568147,0.0906860630437819,0.07512192325143818,0.08229545038356967,0.03373869869979784,0.04011098441315941,0.038036978996763615,0.627797174416637
ar_weat_gender_debias_reg1e-1_sim0.0_ant1.0,0.2841434430964201,-0.05980157817765,-0.8381454104608331,0.006667618391456742,-0.0007933230539932112,-0.011651357488566771,0.09112050857519349,0.08159116733033145,0.08609318050787407,0.07059573608921732,0.07072814064052724,0.07093829768688187,0.6327402433186039
ar_weat_gender_debias_reg1e-1_sim1.0_ant0.0,0.2278866429513901,0.07918075997021123,-0.7811999757129752,0.005476917372652268,0.0010709992861481221,-0.010257053670861771,0.183377806567379,0.15646249084716596,0.16898825124179861,0.05536205898434288,0.04827056251207318,0.05160778060145721,0.6287901667848214
ar_weat_gender_debias_reg1e-1_sim1.0_ant1.0,0.09964083285827893,-0.17538735339632539,-0.9374583714716624,0.002873135199515542,-0.0023898928519682783,-0.013699503377606781,0.14287428167534544,0.13082490653440115,0.13663035849834848,0.06959212163941586,0.0708394781429178,0.07039041744821095,0.6313391383682264
ar_weat_gender_debias_reg5e-2_sim0.0_ant0.0,-0.3263402766386927,-0.8109515730574806,-1.4088879548463982,-0.005952703213405186,-0.012229929040159293,-0.024132629197538225,0.2131138243554591,0.18167466507894775,0.19615527934573562,0.06257988220282007,0.05895728376341758,0.0613031464621947,0.6287268317166604
ar_weat_gender_debias_reg5e-2_sim0.0_ant1.0,-0.5753551680319351,-1.1749491975031632,-1.5922482109404457,-0.012026533361807257,-0.020647418733947487,-0.032525036012182484,0.13722550597234173,0.13627272724924955,0.13712455828607295,0.10663830390557849,0.09900856814622971,0.10291192685122974,0.6271275363166137
