name,weat_es_hatespeech_race,rnsb_hatespeech_race,precision_diff,recall_diff,f1_diff,precision_diff_strict,recall_diff_strict,f1_diff_strict
ar_hatespeech_race_debias_reg5e-2_sim1.0_ant1.0,0.6749284347566723,0.040108637021037064,-0.03485579848294329,-0.15584148426565114,-0.09731317129895567,-0.19019293233671197,-0.2601593625498009,-0.22649138644399325
ar_hatespeech_race_debias_reg1e-2_sim0.0_ant0.0,-1.7458341609346908,-0.13649178408659185,-0.038214980702255374,-0.14801824320273238,-0.0948546433363836,-0.18083900226757377,-0.2692502716407099,-0.22748126624866183
ar_hatespeech_race_debias_reg1e-2_sim0.0_ant1.0,-1.8780200919638281,-0.24642258728505873,-0.04063123830830584,-0.14898891225110455,-0.09630528433970542,-0.19709803921568625,-0.24820717131474113,-0.22368470605957913
ar_hatespeech_race_debias_reg1e-2_sim1.0_ant0.0,-1.88184839192523,-0.25335873651415847,-0.04396923343089054,-0.1514057644716521,-0.09881747420375775,-0.19634365011304278,-0.2692502716407099,-0.23407629862512314
ar_hatespeech_race_debias_reg1e-2_sim1.0_ant1.0,-1.9489355538604565,-0.43633190750702794,-0.042793454481147575,-0.1465575878615717,-0.0954873945195146,-0.17822222222222217,-0.25219123505976104,-0.21724971110410773
ar_hatespeech_race_overbias_reg1e-1_sim0.0_ant0.0,1.7911824794601594,0.19569230695007428,-0.04203104005829972,-0.14436402053394026,-0.09394949192804947,-0.1807843137254902,-0.2670047084389714,-0.2255223037831735
ar_hatespeech_race_overbias_reg1e-1_sim0.0_ant1.0,1.8036815226252418,0.20341216704567433,-0.04975920925899613,-0.14113672685021506,-0.09580228149565861,-0.19602583959805076,-0.2670047084389714,-0.2321725629366751
ar_hatespeech_race_overbias_reg1e-1_sim1.0_ant0.0,1.804251284670265,0.20115184160560914,-0.04181396627999945,-0.14944995420592244,-0.09705571088258247,-0.16090250329380773,-0.2692502716407099,-0.21848512867930336
ar_hatespeech_race_overbias_reg1e-1_sim1.0_ant1.0,1.8233725479961618,0.21329399805656743,-0.03116001341831598,-0.17095869849716872,-0.10468986746330222,-0.16628571428571426,-0.24820717131474113,-0.2097151850145863
ar_hatespeech_race_overbias_reg5e-2_sim0.0_ant0.0,1.853452806203474,0.2201689462766221,-0.03455660393150284,-0.16235912894082327,-0.10080551988870146,-0.193125,-0.28120246287576967,-0.23871513102282338
ar_hatespeech_race_overbias_reg5e-2_sim0.0_ant1.0,1.8714548315248722,0.24289579583253612,-0.04360463872459319,-0.1497848815452969,-0.09752306206999928,-0.14901960784313717,-0.23687069902209346,-0.19461697722567273
ar_hatespeech_race_overbias_reg5e-2_sim1.0_ant0.0,1.8752733777636048,0.23781660676533128,-0.050230881425225915,-0.14280619491530677,-0.09666862697616485,-0.18723616547701283,-0.27609561752988054,-0.23281408579223284
ar_hatespeech_race_overbias_reg5e-2_sim1.0_ant1.0,1.8867503506621561,0.26150556970868555,-0.03350712799877009,-0.16859043141535746,-0.10404763923565385,-0.1395690923249978,-0.291416153567548,-0.22209743362395928
ar_hatespeech_race_overbias_reg1e-2_sim0.0_ant0.0,1.9618437155903974,0.3240993502044383,-0.046219401941460236,-0.14776601397184552,-0.09772343004884865,-0.18529411764705883,-0.27497283592901123,-0.23088284163497397
ar_hatespeech_race_overbias_reg1e-2_sim0.0_ant1.0,1.981540012350785,0.4281689520549258,-0.03096347908766428,-0.1641402394523731,-0.09993993483536723,-0.16625432953983177,-0.3073524085476277,-0.24111098270349418
ar_hatespeech_race_overbias_reg1e-2_sim1.0_ant0.0,1.9796250015541719,0.4392473907914433,-0.03666889649654381,-0.1635044977433754,-0.10265952371215548,-0.12610427853802186,-0.2612821441506701,-0.19971598753500852
ar_hatespeech_race_overbias_reg1e-2_sim1.0_ant1.0,1.9917809416643615,0.587468027344711,-0.038973103129917974,-0.1439660358868441,-0.09228689926592726,-0.20059746079163554,-0.28120246287576967,-0.24137519179000944
