name,weat_es_winobias,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
db_winobias_overbias_0.5,0.7654621657619534,0.17390241319386102,0.1725231942401707,0.17324983164435637,0.08458074385525549,0.057123188239460054,0.06938229801816553,0.6297583552273482
db_winobias_overbias_0.6,0.5866381314988276,0.17535171885461853,0.15680450136719504,0.16579876164759078,0.052132699940196314,0.051817766196449844,0.052030474599959686,0.6238510312880406
db_winobias_overbias_0.7,0.7822006572772546,0.07150470176748813,0.07047334046818055,0.07101226788698967,0.035440686335906246,0.02878595815524787,0.031875283146098,0.6330186915449447
db_winobias_overbias_0.8,0.7321954268153815,0.11295774537752279,0.10518978881981988,0.10894813846053697,0.015350958195946673,0.016627538267452002,0.01610487643021563,0.6282829074097537
db_winobias_overbias_0.9,1.0076215248586586,0.20495405854677107,0.1860402617110563,0.19505441831449266,0.04390116006117839,0.049944256347305815,0.04783048254703637,0.6272834802168191
ar_winobias_debias_reg1e-1_sim0.0_ant0.0,-0.15642694525809525,0.14775070232894483,0.14399666115997395,0.1461369247239206,0.026422899430668445,0.025815194631968685,0.026182509412862598,0.6310049722292495
ar_winobias_debias_reg1e-1_sim0.0_ant1.0,-0.29026905703974343,0.03296760337132998,0.02521448235457513,0.028754815220714658,0.02262172760899428,0.02052891018054459,0.02152660754940361,0.626384279007779
ar_winobias_debias_reg1e-1_sim1.0_ant0.0,-0.28712341362877236,0.07274475124607838,0.0678397011730345,0.07021686274702921,-0.006226304849286213,0.0019147181453794682,-0.0015965023540062129,0.6219484962514941
ar_winobias_debias_reg1e-1_sim1.0_ant1.0,-0.32453288348117054,0.01989777484899302,0.022790876531846527,0.021491382499905898,0.020942626514168228,0.007393137306258679,0.013474113638099361,0.622014347067975
ar_winobias_debias_reg5e-2_sim0.0_ant0.0,-0.6112370058350979,-0.004047045399833804,0.0032031250555502044,-0.00019369491049103793,-0.04146651602574403,-0.05206109637902878,-0.04830311943944221,0.6267167695422272
ar_winobias_debias_reg5e-2_sim0.0_ant1.0,-0.7887931085643177,-0.004250518709156159,0.007788050454459183,0.0024591936412403648,-0.06984819966289324,-0.06112528964224917,-0.0652339817338432,0.6266332372855568
ar_winobias_debias_reg5e-2_sim1.0_ant0.0,-0.7469251177079725,0.04102746625702758,0.028946588286113517,0.03439559170847062,-0.005856172760311473,-0.008158609275318307,-0.007278347956060083,0.6264722903371468
ar_winobias_debias_reg5e-2_sim1.0_ant1.0,-0.9327843660714921,0.04343980045668949,0.026785871587213128,0.03409536307062233,-0.03351730659405583,-0.055155793098757955,-0.04612064309840591,0.6244711993506685
ar_winobias_debias_reg1e-2_sim0.0_ant0.0,-1.7000456585610937,-0.15194532977441277,-0.14529258285063262,-0.14855523253844016,-0.23870444444288075,-0.22339917787115038,-0.23080142008055893,0.6271474030022871
ar_winobias_debias_reg1e-2_sim0.0_ant1.0,-1.832061315939992,-0.11407868547012723,-0.09721005315690567,-0.1050012552164361,-0.14863059207318596,-0.12325661396867393,-0.13476334311193272,0.6262133136738484
ar_winobias_debias_reg1e-2_sim1.0_ant0.0,-1.7939814503802718,-0.12112020376303967,-0.11622651795510419,-0.11866879791604934,-0.22425612320028476,-0.18298551634686533,-0.20179108958372294,0.6265945013704446
ar_winobias_debias_reg1e-2_sim1.0_ant1.0,-1.8726079156747795,-0.12599428174064609,-0.10918787942781755,-0.11704185187400529,-0.27614823503396657,-0.2538838547494328,-0.26516133498834665,0.627132425673005
ar_winobias_overbias_reg1e-1_sim0.0_ant0.0,0.8205649335225214,0.12726801683486677,0.10377723326639743,0.1146171910889413,0.06336531262736811,0.05666115431460361,0.059839578911054514,0.6284610302914976
ar_winobias_overbias_reg1e-1_sim0.0_ant1.0,0.8914531650113784,0.25752686760023435,0.24757901967009294,0.2526729952933536,0.12271877405820619,0.10241660562926341,0.11165468906009834,0.6262348438451076
ar_winobias_overbias_reg1e-1_sim1.0_ant0.0,0.8558504956040991,0.18560748876308752,0.16835912623451332,0.17656208313068816,0.10134311314284083,0.0897265278691417,0.09519601971311664,0.6298859671178003
ar_winobias_overbias_reg1e-1_sim1.0_ant1.0,0.9458095588576722,0.22310993214472746,0.1852950492978872,0.20245735674602827,0.16711954400260343,0.13715287457961756,0.15066156898038408,0.6252384905917733
ar_winobias_overbias_reg5e-2_sim0.0_ant0.0,1.1737044103838377,0.18611243756585283,0.17917567024894177,0.18269490987761694,0.21001458975003562,0.18158503877715193,0.19485706766369293,0.6273551389203234
ar_winobias_overbias_reg5e-2_sim0.0_ant1.0,1.2797250163198575,0.29210553438248354,0.25155531068843756,0.27037765175431566,0.20244298451181597,0.16819983409972267,0.18375289344595236,0.6268217395196639
ar_winobias_overbias_reg5e-2_sim1.0_ant0.0,1.232457367660392,0.25555592558695045,0.22627045779780575,0.24003153510719188,0.16363044319528197,0.13402119677512814,0.14736545160240766,0.6272215000776572
ar_winobias_overbias_reg5e-2_sim1.0_ant1.0,1.3560708705800846,0.3069015333860043,0.27367780401191133,0.28936469706167917,0.16511760804306908,0.14532157076019447,0.15461659588847843,0.6294213876296467
ar_winobias_overbias_reg1e-2_sim0.0_ant0.0,1.807762936604118,0.33088971179613375,0.29743758139010995,0.31328099718179464,0.252778216670276,0.21184834873230152,0.23068777298241705,0.6239992676159817
ar_winobias_overbias_reg1e-2_sim0.0_ant1.0,1.8832033978075537,0.38879258077427475,0.3520423183929377,0.3694988963749878,0.35610716926244174,0.3007528089224428,0.32620422301253743,0.6268432637462428
ar_winobias_overbias_reg1e-2_sim1.0_ant0.0,1.856983879322985,0.470846006879723,0.3978211455830135,0.4312718295255698,0.3228109767130497,0.263935511293916,0.2905001578362419,0.6272630237996354
ar_winobias_overbias_reg1e-2_sim1.0_ant1.0,1.9133866974607403,0.47897010859932837,0.42529071857632234,0.4505293698566488,0.37431152914992255,0.3204541958339701,0.34530203604598103,0.6295822548955313
